站號|站名|海拔高度(M)|經度|緯度|城市|地址|資料起始日期|撤站日期|備註|原站號|新站號
466921|臺北(師院)|6.1|121.5132|25.0363|臺北市|中正區公園路|1992-02-01|1997-09-01|1997年9月遷回原址。||
467411|臺南(永康)|8.1|120.2367|23.0384|臺南市|永康區中正南路654巷40弄1號|1988-05-01|2002-01-01|2002-01-01遷回臺南市。||
467570|新竹|32.8|120.9776|24.8004|新竹市|公園路|1938-01-01|1991-07-01|1991-07站址遷往竹北。||
467780|七股|2.9|120.0862|23.147|臺南市|七股區鹽埕237-11號|2001-11-01|2016-06-01|||
C0A510|大豹|590|121.4215|24.8871|新北市|三峽區(三峽李山神宮附近)|1987-06-01|2009-05-16|||
C0A590|大尖山|326|121.666|25.0515|新北市|汐止區勤進路|1987-06-01|2011-08-12|||
C0A680|五股|95|121.435|25.0834|新北市|五股區248成泰路二段49巷15號(五股國中校園內)|2009-12-01|2016-07-02|原(C1A680)站因擴充為氣象站，於2009-12-1升級為(C0A680)站。|C1A680|
C0A760|林口國中|250|121.3749|25.0815|新北市|林口區林口國中|1973-02-01|1987-12-01|||
C0A930|三和|200|121.5941|25.2349|新北市|金山區兩湖里(距兩湖分校約300公尺)|1995-01-01|2014-03-20|因移位，於2014-4-1更變為(C0A931)站。||C0A931
C0A9D0|永和|13|121.5048|25.0089|新北市|永和區保生路25號(永平國民小學校園內)|1997-12-01|2013-12-03|||
C0A9H0|信義|51|121.5646|25.0381|臺北市|信義區莊敬路423巷8弄1號(信義國中內)|1997-12-01|2009-03-31|||
C0A9I0|三重|18|121.4885|25.064|新北市|三重區中正北路107號(明志國中校園內)|1997-12-01|2010-09-29|因移位，於2010-10-11更變為(C0A9I1)站。||C0A9I1
C0AC90|中和|32|121.4904|24.9926|新北市|中和區景新街467巷37號(景新國小校園內)|2009-12-01|2011-07-22|原(C1AC90)站因擴充為氣象站，於2009-12-1升級為(C0AC90)站。|C1AC90|
C0C450|新屋|92|121.1068|24.9713|桃園市|新屋區新屋里(衛生署桃園醫院新屋分院北面停車場邊)|1987-06-01|2011-09-21|||
C0C500|楊梅|181|121.1483|24.9209|桃園市|楊梅區高山里11鄰梅高路838號(楊梅高中校門口對面空地)|2011-12-01|2013-06-29|原(C1C500)站因擴充為氣象站，於2011-12-1升級為(C0C500)站。|C1C500|
C0C570|新屋|5|121.0476|25.0076|桃園市|新屋區東興路二段946號|2008-01-01|2014-09-27|原(C1C570)站因擴充為氣象站，於2008-1-1升級為(C0C570)站。|C1C570|
C0C580|新豐|143|120.9854|24.8688|新竹縣|新豐鄉|2007-10-01|2008-02-24|原(C0C580)站因縣市代碼不符，於2008-2-25重新編碼為(C0D590)站。||C0D590
C0C610|龍潭|234|121.2165|24.8568|桃園市|龍潭區神龍路346號(雙龍國民小學校園內)|2007-10-01|2014-03-16|||
C0D370|湖口|79|121.044|24.9091|新竹縣|湖口鄉德盛村98-8號(湖口農田水利會內)|2011-12-01|2013-09-09|原(C1D370)站因擴充為氣象站，於2011-12-1升級為(C0D370)站。|C1D370|
C0D470|竹東|229|121.0579|24.7671|新竹縣|橫山鄉新庄子3號(華山國民中學內)|1990-07-21|2007-05-01|||
C0E410|觀霧|2087|121.1132|24.506|新竹縣|五峰鄉及苗栗縣泰安鄉交界(林務局觀霧國家森林遊樂區遊客中心左前方往樂山基地之路旁)|1987-06-01|2007-06-22|||
C0E440|大河|122|120.9469|24.6173|苗栗縣|三灣鄉大河村64號(大河國小校園內)|2008-01-01|2015-07-23|原(C1E440)站因擴充為氣象站，於2008-1-1升級為(C0E440)站。|C1E440|
C0E580|苑里|60|120.6801|24.4335|苗栗縣|苑裡鎮|1990-07-21|2011-06-13|||
C0E760|苑裡|19|120.6582|24.4485|苗栗縣|苑裡鎮育才街100號(國立苑裡高中)|2011-11-01|2013-07-13|||
C0F860|梨山|1980|121.2593|24.2552|臺中市|和平區梨山里福壽路10號（梨山國小）|1990-07-21|2004-06-01|||
C0F950|合歡山|3430|121.2726|24.1435|南投縣|仁愛鄉(近合歡山三角點，由松雪樓開車約15分鐘，大甲溪事業區第81林班)|1990-07-01|2008-02-24|原(C0F950)站因縣市代碼不符，於2008-2-25重新編碼為(C0H9C0)站。||C0H9C0
C0F990|橫山|253|120.6073|24.2191|臺中市|大雅區橫山通山路46號(台中高爾球場辦公室後面)|2008-04-01|2015-07-30|原(C1F990)站因擴充為氣象站，於2008-4-1升級為(C0F990)站。|C1F990|
C0G710|台西|64|120.2798|23.8485|彰化縣|大城鄉臺西村許厝巷2之10號旁|1992-07-01|2015-05-25|||
C0H980|中興新村|83|120.9951|23.9363|南投縣|南投市中興新村|1992-05-01|1996-01-10|||
C0K290|宜梧|3|120.1726|23.5422|雲林縣|口湖鄉口湖村191號木宜梧農場(口湖段下湖口425號)|1993-03-01|2010-09-15|因觀測位置不佳，於2010-9-27更變為(C0K291)站。||C0K291
C0K300|大埔|369|120.6053|23.6413|雲林縣|古坑鄉朝陽村北極殿旁|1993-03-01|2015-06-05|||
C0O890|南化|167|120.4886|23.0427|臺南市|南化區|1992-05-01|1996-01-01|||
C0O910|新營|16|120.3215|23.2923|臺南市|柳營區73603太康里一號(太康段523-12號)|1993-03-01|2015-06-04|||
C0R340|牡丹|285|120.8378|22.1924|屏東縣|牡丹鄉牡丹國民小學|1997-07-01|1999-04-12|原(C0R340)站於1999-4-12變更為(C1R340)站。||C1R340
C0S720|靜浦|92|121.4948|23.4551|花蓮縣|豐濱鄉靜浦村活動中心後山上|1997-07-01|2008-02-24|原(C0S720)站因縣市代碼不符，於2008-2-25重新編碼為(C0T9M0)站。||C0T9M0
C0T840|新城|32|121.6056|23.9988|花蓮縣|新城鄉北埔村北埔路170號(北埔國民小學內)|1996-01-01|2009-09-24|因移位，於2009-10-15更變為(C0T841)站。||C0T841
